iter	Passed	Remaining
0	2	2421
1	4	2358
2	7	2630
3	10	2670
4	12	2561
5	15	2488
6	16	2396
7	19	2363
8	20	2311
9	24	2398
10	26	2378
11	28	2383
12	31	2368
13	34	2452
14	38	2525
15	42	2583
16	44	2558
17	46	2535
18	48	2514
19	50	2474
20	52	2451
21	55	2471
22	58	2474
23	61	2507
24	64	2515
25	66	2507
26	68	2472
27	71	2491
28	73	2465
29	77	2498
30	79	2496
31	82	2492
32	85	2493
33	88	2527
34	91	2518
35	93	2492
36	95	2490
37	97	2465
38	100	2475
39	103	2484
40	105	2476
41	109	2487
42	110	2463
43	112	2443
44	114	2434
45	116	2424
46	120	2436
47	123	2449
48	125	2444
49	128	2439
50	129	2417
51	132	2416
52	135	2415
53	136	2399
54	140	2407
55	141	2393
56	144	2395
57	148	2404
58	152	2425
59	155	2442
60	158	2434
61	160	2422
62	162	2415
63	164	2412
64	167	2404
65	169	2394
66	172	2402
67	175	2407
68	179	2420
69	181	2417
70	184	2414
71	186	2401
72	188	2388
73	190	2379
74	192	2373
75	194	2365
76	196	2358
77	200	2372
78	204	2381
79	207	2381
80	209	2375
81	212	2381
82	215	2379
83	217	2370
84	220	2375
85	223	2373
86	227	2382
87	230	2388
88	232	2380
89	235	2377
90	237	2370
91	239	2366
92	244	2381
93	246	2374
94	248	2370
95	250	2362
96	255	2375
97	258	2374
98	261	2375
99	263	2374
100	265	2367
101	267	2356
102	270	2358
103	275	2374
104	279	2383
105	281	2376
106	283	2368
107	285	2358
108	287	2353
109	290	2347
110	294	2360
111	296	2352
112	298	2343
113	300	2338
114	302	2331
115	306	2333
116	310	2346
117	313	2340
118	314	2331
119	317	2328
120	322	2340
121	324	2334
122	326	2329
123	329	2324
124	331	2323
125	333	2314
126	335	2309
127	342	2333
128	344	2325
129	347	2328
130	349	2319
131	352	2314
132	356	2320
133	358	2316
134	359	2306
135	363	2307
136	364	2299
137	366	2290
138	369	2290
139	372	2289
140	375	2288
141	377	2282
142	379	2273
143	381	2266
144	384	2265
145	386	2262
146	388	2254
147	390	2249
148	393	2244
149	395	2238
150	397	2232
151	400	2235
152	402	2228
153	404	2221
154	406	2216
155	408	2210
156	410	2202
157	411	2194
158	413	2187
159	419	2204
160	421	2197
161	423	2190
162	425	2185
163	429	2187
164	435	2205
165	438	2202
166	440	2194
167	443	2196
168	445	2190
169	450	2201
170	454	2204
171	456	2197
172	458	2190
173	460	2185
174	463	2185
175	467	2186
176	468	2179
177	471	2175
178	472	2169
179	475	2167
180	479	2168
181	482	2167
182	484	2162
183	487	2159
184	489	2156
185	491	2150
186	495	2153
187	498	2152
188	502	2154
189	504	2152
190	508	2153
191	513	2160
192	516	2157
193	518	2154
194	522	2156
195	524	2151
196	528	2155
197	530	2150
198	532	2145
199	535	2141
200	537	2135
201	540	2134
202	545	2140
203	548	2141
204	550	2136
205	552	2130
206	554	2123
207	560	2135
208	563	2130
209	565	2127
210	567	2122
211	569	2116
212	573	2120
213	576	2119
214	579	2116
215	582	2115
216	585	2111
217	587	2105
218	591	2108
219	593	2103
220	595	2098
221	597	2092
222	600	2090
223	605	2097
224	607	2093
225	610	2092
226	612	2086
227	616	2086
228	622	2095
229	624	2091
230	627	2089
231	631	2088
232	632	2083
233	638	2088
234	640	2086
235	643	2081
236	645	2077
237	647	2073
238	649	2068
239	653	2069
240	655	2064
241	658	2063
242	660	2057
243	663	2056
244	665	2051
245	670	2056
246	673	2052
247	675	2049
248	678	2045
249	683	2051
250	687	2050
251	688	2045
252	690	2039
253	693	2036
254	694	2029
255	700	2034
256	702	2031
257	704	2025
258	707	2024
259	711	2024
260	713	2021
261	716	2019
262	718	2013
263	720	2008
264	723	2006
265	725	2001
266	728	1998
267	732	2000
268	735	1999
269	737	1994
270	739	1989
271	741	1985
272	743	1980
273	747	1980
274	749	1976
275	751	1970
276	753	1965
277	758	1971
278	763	1973
279	765	1969
280	769	1969
281	772	1965
282	773	1960
283	777	1960
284	781	1960
285	784	1959
286	788	1958
287	790	1954
288	792	1950
289	795	1948
290	798	1946
291	802	1945
292	803	1939
293	807	1938
294	812	1941
295	814	1936
296	816	1931
297	817	1926
298	820	1923
299	822	1919
300	827	1921
301	831	1920
302	832	1915
303	835	1911
304	836	1906
305	839	1904
306	843	1904
307	846	1901
308	848	1896
309	849	1891
310	851	1885
311	853	1883
312	857	1882
313	859	1877
314	862	1876
315	866	1874
316	867	1870
317	869	1865
318	874	1866
319	877	1864
320	879	1860
321	881	1857
322	884	1852
323	886	1849
324	889	1847
325	891	1843
326	893	1838
327	895	1834
328	896	1829
329	900	1827
330	902	1823
331	905	1821
332	907	1817
333	909	1813
334	911	1809
335	913	1805
336	915	1800
337	916	1795
338	919	1793
339	921	1789
340	923	1784
341	925	1780
342	927	1776
343	929	1772
344	931	1768
345	934	1765
346	937	1763
347	939	1761
348	943	1760
349	946	1757
350	948	1754
351	951	1751
352	953	1748
353	955	1743
354	958	1740
355	960	1737
356	964	1736
357	967	1735
358	969	1731
359	972	1728
360	974	1724
361	976	1720
362	977	1715
363	979	1712
364	982	1709
365	985	1707
366	989	1706
367	993	1706
368	997	1706
369	1001	1706
370	1006	1706
371	1010	1706
372	1016	1709
373	1022	1711
374	1027	1712
375	1034	1716
376	1040	1719
377	1052	1731
378	1061	1740
379	1068	1743
380	1075	1746
381	1082	1751
382	1087	1752
383	1094	1755
384	1102	1761
385	1109	1765
386	1119	1773
387	1127	1778
388	1132	1778
389	1143	1789
390	1148	1789
391	1160	1799
392	1165	1799
393	1170	1799
394	1178	1805
395	1183	1805
396	1194	1813
397	1200	1816
398	1209	1822
399	1218	1827
400	1225	1829
401	1229	1829
402	1233	1827
403	1241	1831
404	1246	1831
405	1256	1838
406	1261	1837
407	1265	1836
408	1271	1837
409	1275	1835
410	1279	1833
411	1285	1834
412	1290	1833
413	1300	1840
414	1304	1839
415	1308	1837
416	1315	1838
417	1319	1837
418	1326	1839
419	1331	1838
420	1335	1836
421	1339	1834
422	1343	1832
423	1352	1837
424	1356	1835
425	1363	1836
426	1367	1835
427	1375	1838
428	1384	1842
429	1388	1839
430	1394	1840
431	1398	1839
432	1402	1836
433	1411	1840
434	1415	1838
435	1419	1836
436	1423	1833
437	1429	1834
438	1434	1833
439	1440	1832
440	1448	1836
441	1453	1835
442	1459	1835
443	1464	1834
444	1469	1833
445	1478	1836
446	1483	1834
447	1489	1835
448	1494	1833
449	1499	1832
450	1504	1831
451	1509	1829
452	1513	1827
453	1523	1832
454	1527	1829
455	1532	1828
456	1541	1832
457	1547	1830
458	1551	1828
459	1557	1828
460	1562	1826
461	1567	1825
462	1572	1823
463	1578	1823
464	1584	1822
465	1589	1821
466	1593	1819
467	1599	1818
468	1604	1816
469	1608	1813
470	1614	1812
471	1619	1811
472	1627	1813
473	1635	1814
474	1639	1811
475	1643	1809
476	1650	1809
477	1653	1806
478	1657	1803
479	1662	1801
480	1666	1798
481	1673	1798
482	1679	1797
483	1682	1794
484	1687	1791
485	1691	1788
486	1700	1791
487	1708	1792
488	1717	1794
489	1724	1794
490	1729	1792
491	1734	1790
492	1743	1792
493	1751	1794
494	1759	1795
495	1768	1796
496	1774	1795
497	1781	1796
498	1787	1794
499	1796	1796
500	1800	1793
501	1805	1790
502	1808	1787
503	1812	1783
504	1816	1780
505	1821	1777
506	1826	1775
507	1830	1773
508	1835	1770
509	1839	1767
510	1844	1765
511	1852	1765
512	1857	1763
513	1861	1760
514	1867	1758
515	1874	1758
516	1878	1755
517	1887	1756
518	1891	1752
519	1895	1749
520	1900	1747
521	1904	1743
522	1907	1740
523	1913	1738
524	1918	1735
525	1924	1733
526	1929	1732
527	1934	1729
528	1938	1726
529	1942	1723
530	1948	1720
531	1952	1717
532	1957	1714
533	1962	1712
534	1966	1709
535	1975	1709
536	1981	1708
537	1988	1707
538	1997	1708
539	2001	1705
540	2005	1701
541	2011	1699
542	2016	1696
543	2024	1697
544	2033	1697
545	2039	1696
546	2045	1693
547	2051	1691
548	2062	1693
549	2067	1691
550	2076	1691
551	2083	1691
552	2091	1690
553	2095	1687
554	2101	1685
555	2108	1683
556	2113	1680
557	2121	1680
558	2126	1677
559	2131	1675
560	2138	1673
561	2142	1669
562	2149	1668
563	2155	1666
564	2159	1662
565	2164	1659
566	2172	1659
567	2177	1656
568	2186	1656
569	2191	1652
570	2195	1649
571	2202	1648
572	2206	1644
573	2210	1640
574	2217	1638
575	2220	1634
576	2225	1631
577	2229	1628
578	2234	1624
579	2239	1621
580	2246	1620
581	2253	1618
582	2261	1617
583	2270	1617
584	2274	1613
585	2280	1610
586	2284	1607
587	2291	1605
588	2297	1603
589	2304	1601
590	2308	1597
591	2313	1594
592	2318	1591
593	2327	1590
594	2331	1587
595	2336	1583
596	2341	1580
597	2346	1577
598	2353	1575
599	2359	1572
600	2364	1570
601	2369	1566
602	2375	1563
603	2383	1562
604	2389	1560
605	2395	1557
606	2400	1554
607	2406	1551
608	2412	1548
609	2415	1544
610	2419	1540
611	2424	1537
612	2428	1533
613	2433	1529
614	2441	1528
615	2446	1524
616	2450	1521
617	2456	1518
618	2461	1515
619	2466	1511
620	2472	1508
621	2476	1505
622	2480	1501
623	2486	1498
624	2489	1493
625	2493	1490
626	2502	1488
627	2506	1484
628	2511	1481
629	2519	1479
630	2528	1478
631	2534	1475
632	2542	1474
633	2546	1470
634	2554	1468
635	2558	1464
636	2566	1462
637	2571	1459
638	2580	1457
639	2584	1453
640	2592	1451
641	2598	1448
642	2603	1445
643	2609	1442
644	2616	1440
645	2620	1436
646	2625	1432
647	2631	1429
648	2636	1425
649	2640	1421
650	2645	1418
651	2650	1414
652	2654	1410
653	2665	1410
654	2670	1406
655	2677	1403
656	2681	1399
657	2685	1395
658	2689	1391
659	2695	1388
660	2703	1386
661	2708	1383
662	2712	1378
663	2716	1374
664	2720	1370
665	2726	1367
666	2734	1365
667	2742	1363
668	2746	1358
669	2750	1354
670	2754	1350
671	2758	1346
672	2763	1342
673	2771	1340
674	2776	1336
675	2780	1332
676	2788	1330
677	2794	1327
678	2799	1323
679	2805	1320
680	2813	1317
681	2821	1315
682	2825	1311
683	2831	1307
684	2839	1305
685	2844	1301
686	2853	1300
687	2859	1296
688	2866	1294
689	2872	1290
690	2877	1286
691	2882	1282
692	2887	1278
693	2894	1276
694	2900	1272
695	2905	1268
696	2909	1264
697	2915	1261
698	2919	1257
699	2923	1253
700	2930	1249
701	2934	1245
702	2939	1241
703	2944	1238
704	2952	1235
705	2957	1231
706	2967	1229
707	2970	1225
708	2974	1221
709	2980	1217
710	2988	1214
711	2993	1210
712	2997	1206
713	3002	1202
714	3008	1199
715	3013	1195
716	3017	1191
717	3022	1187
718	3028	1183
719	3031	1179
720	3036	1175
721	3044	1172
722	3050	1168
723	3056	1165
724	3064	1162
725	3073	1159
726	3081	1156
727	3085	1152
728	3090	1148
729	3094	1144
730	3099	1140
731	3104	1136
732	3109	1132
733	3114	1128
734	3123	1126
735	3127	1121
736	3133	1118
737	3138	1114
738	3144	1110
739	3148	1106
740	3155	1102
741	3157	1097
742	3160	1093
743	3163	1088
744	3166	1083
745	3169	1079
746	3171	1074
747	3174	1069
748	3176	1064
749	3178	1059
750	3181	1054
751	3185	1050
752	3188	1045
753	3190	1040
754	3193	1036
755	3199	1032
756	3201	1027
757	3203	1022
758	3205	1017
759	3207	1012
760	3209	1007
761	3211	1003
762	3216	999
763	3218	994
764	3221	989
765	3222	984
766	3224	979
767	3226	974
768	3230	970
769	3232	965
770	3234	960
771	3237	956
772	3241	951
773	3243	947
774	3246	942
775	3249	938
776	3251	933
777	3252	928
778	3254	923
779	3256	918
780	3258	913
781	3261	909
782	3262	904
783	3264	899
784	3267	894
785	3271	890
786	3273	885
787	3275	881
788	3277	876
789	3279	871
790	3281	866
791	3282	862
792	3286	857
793	3288	853
794	3290	848
795	3291	843
796	3294	839
797	3297	834
798	3299	829
799	3310	827
800	3313	823
801	3317	818
802	3320	814
803	3322	809
804	3323	805
805	3325	800
806	3328	795
807	3329	791
808	3332	786
809	3334	782
810	3337	777
811	3339	773
812	3341	768
813	3345	764
814	3350	760
815	3353	756
816	3354	751
817	3356	746
818	3358	742
819	3360	737
820	3362	733
821	3367	729
822	3369	724
823	3371	720
824	3374	715
825	3377	711
826	3378	706
827	3382	702
828	3385	698
829	3389	694
830	3390	689
831	3394	685
832	3398	681
833	3401	677
834	3405	672
835	3408	668
836	3410	664
837	3414	660
838	3415	655
839	3417	651
840	3419	646
841	3422	642
842	3424	637
843	3426	633
844	3429	629
845	3431	624
846	3433	620
847	3435	615
848	3437	611
849	3439	606
850	3441	602
851	3445	598
852	3446	593
853	3448	589
854	3450	585
855	3453	580
856	3455	576
857	3461	572
858	3463	568
859	3466	564
860	3469	560
861	3471	555
862	3474	551
863	3476	547
864	3478	542
865	3480	538
866	3482	534
867	3484	529
868	3486	525
869	3489	521
870	3492	517
871	3494	513
872	3497	508
873	3499	504
874	3501	500
875	3504	496
876	3508	492
877	3510	487
878	3513	483
879	3515	479
880	3517	475
881	3519	470
882	3524	466
883	3526	462
884	3528	458
885	3531	454
886	3533	450
887	3538	446
888	3542	442
889	3545	438
890	3548	434
891	3554	430
892	3558	426
893	3560	422
894	3562	417
895	3564	413
896	3566	409
897	3571	405
898	3574	401
899	3575	397
